ID,FileName,ProcessedDate,EIN,OrganizationName,Website,FormationYear,Organization501c3,LegalDomicileState,MailingAddress,MailingCity,MailingState,MailingZIP,PhysicalAddress,PhysicalCity,PhysicalState,PhysicalZIP,PrincipalOfficerName,BusinessOfficerName,BusinessOfficerTitle,BusinessOfficerPhone,SigningOfficerFirstName,SigningOfficerLastName,PreparerName,PreparerPhone,PreparerFirmName,PreparerFirmAddress,PreparerFirmCity,PreparerFirmState,PreparerFirmZIP,MissionDescription,ActivityDescription,GrossReceipts,TotalRevenue,TotalExpenses,NetIncome,TotalAssets,TotalEmployees,ContributionsReceived,ProgramServiceRevenue,InvestmentIncome,SalariesAndBenefits,HasFundraisingActivities,HasProfessionalFundraising,FundraisingGrossIncome,FundraisingDirectExpenses,NetFundraisingIncome,Event1Name,Event1GrossReceipts,Event1CharitableContributions,Event1GrossRevenue,Event1RentCosts,Event1FoodBeverage,Event1OtherExpenses,Event1NetIncome,Event2Name,Event2GrossReceipts,Event2CharitableContributions,Event2GrossRevenue,Event2RentCosts,Event2FoodBeverage,Event2OtherExpenses,Event2NetIncome,OtherEventCount,TotalEventGrossReceipts,TotalEventGrossRevenue,TotalEventRentCosts,TotalEventFoodBeverage,TotalEventOtherExpenses,TotalEventDirectExpenses,TotalEventNetIncome,HasGala,HasAuction,HasBall,HasDinner,HasBenefit,HasTournament,HasGolf,HasAnnual,HasFundraiser,HasEvent,HasShow,HasRun,HasArt,HasAwards,HasConcert,HasFestival,HasRaffle,HasGamingActivities,GamingGrossRevenue,GamingNetIncome,ProspectScore,ProspectTier,TerritoryManager,ContactStatus,LastContactDate,NextFollowUpDate,ProspectNotes,EstimatedValue,TaxYear,TaxPeriodEnd,ReturnTimestamp,Event1Keyword,Event2Keyword,PrimaryEventType,WebsiteRaw,,,,,,
1624,201900159349301065_public.xml,NULL,251752269,URBAN IMPACT FOUNDATION,uifpgh.org,1994,X,PA,801 UNION PLACE,PITTSBURGH,PA,15212,801 UNION PLACE,PITTSBURGH,PA,15212,THOMAS E KREIDER,THOMAS E KREIDER,BOARD CHAIRMAN,4123213811,NULL,NULL,JOHN F MARZO,4123672101,BATES BARKSDALE ICKERT & COMPANY,803 MCKNIGHT PARK DRIVE,PITTSBURGH,PA,15237,"TO CONDUCT VARIOUS PROGRAMS INTENDED TO TRANSFORM INNER CITY ""AT RISK"" YOUTH ON THE NORTH SIDE OF PITTSBURGH INTO SUCCESSFUL, CONTRIBUTING AND FUNCTIONABLE MEMBERS OF SOCIETY.","WE ARE A COMMUNITY DEVELOPMENT ORGANIZATION TRYING TO DO OUR PART IN FULFILLING CHRIST'S GREAT COMMISSION ON THE NORTH SIDE OF PITTSBURGH, BY FOLLOWING HIS MODEL OF HOLISTIC MINISTRY BY INVESTING IN THE LIVES OF AT-RISK CHILDREN, YOUTH, AND THEIR FAMILIES IN ORDER TO DEVELOP MATURE, RESPONSIBLE FOLLOWERS OF CHRIST",4644587,4292160,4311238,-19078,1415747,150,3883150,389855,19155,135596,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2017,8/31/2018,00:54.0,NULL,NULL,NULL,WWW.UIFPGH.ORG,,,,,,
1626,201900159349301075_public.xml,NULL,800014785,HELP ANIMALS LIVES TODAY,haltaz.org,2001,X,AZ,6625 N MASSACHUSETTS DR,KINGMAN,AZ,86409,6625 MASSACHUSETTS DR,KINGMAN,AZ,86409,LOTTI BBENKER,LOTTI BBENKER,PRESIDENT,9287534040,NULL,NULL,HONEY D JOHNSON-JONES,9287534040,HONEY'S HELPING HANDS INC,701 STOCKTON HILL RD STE J,KINGMAN,AZ,86401,ADVOCATE ANIMAL WELFARE,ADVOCATE ANIMAL WELFARE,59488,59488,59762,-274,136113,0,47027,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2017,8/31/2018,25:58.0,NULL,NULL,NULL,WWW.HALTAZ.ORG,,,,,,
1629,201900159349301090_public.xml,NULL,810439251,BHS INC,buckinghorsesale.com,1986,NULL,MT,PO BOX 1027,MILES CITY,MT,59301,PO BOX 746,MILES CITY,MT,59301,JEFF RODENBAUGH,JEFF RODENBAUGH,PRESIDENT,4068742825,NULL,NULL,RUSTY G KNUTHS,4068538530,RUSTY G KNUTHS CPA,824 ISMAY ROAD SOUTH,ISMAY,MT,593369442,PROVIDE COMMUNITY ENTERTAINMENT EVENT,PROVIDE COMMUNITY ENTERTAINMENT EVENT,735735,735735,731603,4132,496526,78,0,0,1664,43094,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2017,9/30/2018,37:50.0,NULL,NULL,NULL,WWW.BUCKINGHORSESALE.COM,,,,,,
1632,201900159349301105_public.xml,NULL,740877022,ST CHARLES BAY HUNTING CLUB,stcharlesbayclub.com,1923,NULL,TX,PO BOX 570183,HOUSTON,TX,77257,4602 W ALABAMA,HOUSTON,TX,77027,AL PRATKA,AL PRATKA,PRESIDENT,7133036658,NULL,NULL,RH STEVENS JR,7136211177,STEVENS & MATTHEWS LLP,1177 WEST LOOP S STE 600,HOUSTON,TX,770279057,HUNTING AND FISHING CLUB,HUNTING AND FISHING CLUB,552207,552207,440960,111247,1268123,6,457000,90790,3670,177750,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2017,2/28/2018,28:55.0,NULL,NULL,NULL,WWW.STCHARLESBAYCLUB.COM,,,,,,
1634,201900159349301115_public.xml,NULL,571119849,WALNUT GROVE CHRISTIAN SCHOOL,walnutgrovechristianschool.com,2003,X,SC,1036 MAXWELL MILL ROAD,FORT MILL,SC,29708,3240 BANCOCK DRIVE,FORT MILL,SC,29715,KYLE BOYD,KYLE BOYD,HEADMASTER,PRESIDENT,8038352001,NULL,NULL,DAVID M KNOBLE,8033248880,KNOBLE INGLE CPAS LLP,133 CALDWELL ST,ROCK HILL,SC,297304533,K-12 NON-PROFIT RELIGIOUS INSTITUTE,K-12 NON-PROFIT RELIGIOUS INSTITUTE,1068842,1068842,950052,118790,1504506,40,32980,1035798,64,532804,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2017,6/30/2018,51:46.0,NULL,NULL,NULL,WWW.WALNUTGROVECHRISTIANSCHOOL.COM,,,,,
1635,201900159349301120_public.xml,NULL,680375462,LIFEWORKS OF SONOMA COUNTY,lifeworkssc.org,1996,X,CA,1260 N DUTTON AVE STE 105,SANTA ROSA,CA,95401,9343 OAK TRAIL CIRCLE,SANTA ROSA,CA,95409,KENT SEEGMILLER,KENT SEEGMILLER,Treasurer,NULL,NULL,NULL,Alan Wingate,7075957840,Alan Wingate CPA,703 Second St Ste 106,Santa Rosa,CA,95404,MENTAL HEALTH SERVICES,MENTAL HEALTH SERVICES,743110,725178,692322,32856,503443,24,144549,534314,41,551447,0,0,64206,17932,46274,Harvest Hoedown,64206,NULL,64206,NULL,NULL,17932,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64206,64206,NULL,NULL,17932,17932,46274,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2016,6/30/2017,20:09.0,NULL,NULL,NULL,WWW.LIFEWORKSSC.ORG,,,,,,
1637,201900159349301130_public.xml,NULL,251847249,CENTRAL PENNSYLVANIA WORKFORCE,cpwdc.org,1999,X,PA,130 KELLY SQUARE NO 1,LEWISBURG,PA,17837,130 KELLY SQUARE STE 1,LEWISBURG,PA,17837,ERICA MULBERGER,ERICA MULBERGER,EXECUTIVE DIRECTOR,5705686868,NULL,NULL,DANIEL BRADLEY CPA,8149446191,YOUNG OAKES BROWN & COMPANY PC,1210 THIRTEENTH STREET,ALTOONA,PA,16601,"THE MISSION IS TO BE THE LEADING VEHICLE FOR REGIONAL UNIFICATION, COORDINATION, INTEGRATION, AND ALIGNMENT OF WORKFORCE ACTIVITIES, RESOURCES, AND INITIATIVES TO SUPPORT ECONOMIC SUSTAINABILITY, IMPROVE EDUCATION SYSTEMS, AND DEVELOP AND RETAIN A QUALITY LABOT FOPRCE IN CENTRAL PENNSYLVANIA.","OUR MISSION IS TO BE THE LEADING VEHICLE FOR REGIONAL UNIFICATION, COORDINATION, INTEGRATION AND ALIGNMENT OR WORKFORCE ACTIVITIES, RESOURCES AND INITIATIVES TO SUPPORT ECONOMIC SUSTAINABILITY, IMPROVE EDUCATION SYSTEMS AND DEVELOP AND RETAIN A QUALITY LABOR FORCE IN CENTRAL PENNSYLVANIA.",6462760,6462760,6467915,-5155,2140999,12,0,6462760,0,619488,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2017,6/30/2018,05:44.0,NULL,NULL,NULL,HTTP:,,WWW.CPWDC.ORG,,,,
1644,201900159349301165_public.xml,NULL,750304660,GREENVILLE CHAMBER OF COMMERCE,greenvillechamber.com,1950,NULL,TX,PO BOX 1050,GREENVILLE,TX,754031050,PO BOX 1050,GREENVILLE,TX,754031050,BYRON TAYLOR,SHELLEY CORRALES,FINANCIAL SERVICES DIRECTOR,9034551510,NULL,NULL,COLEEN M SMITH CPA MO,9034501200,CONWAY COMPANY CPAS,8910 WESLEY ST,GREENVILLE,TX,75402,THE MISSION OF THE GREENVILLE CHAMBER,THE MISSION OF THE GREENVILLE CHAMBER OF COMMERCE IS TO SERVE AS A CATALYST THAT MOTIVATES AND MOBILIZES THE COMMUNITY; TO IMPROVE THE QUALITY OF LIFE; AND TO DEVELOP AN ECONOMIC,402290,333414,282461,50953,260259,5,169275,100733,71,167934,0,0,131820,68876,62944,ANNUAL AUCTION,39774,NULL,39774,NULL,5454,693,NULL,RALLY 'ROUND GREENVILLE,40430,NULL,40430,1010,6262,9714,NULL,2,127821,127821,1010,21294,16565,65856,61965,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B+,NULL,NULL,NULL,NULL,NULL,NULL,2017,9/30/2018,35:54.0,AUCTION,NULL,AUCTION,WWW.GREENVILLECHAMBER.COM,,,,,,
1658,201900159349301255_public.xml,NULL,942597528,Yolo Hospice Inc,yolohospice.org,1979,X,CA,PO Box 1014,Davis,CA,95617,PO Box 1014,Davis,CA,95617,Craig Dresang,Craig Dresang,Executive Dir.,NULL,NULL,NULL,James Marta,9169939494,JAMES MARTA & CO LLP,701 HOWE AVE STE E3,SACRAMENTO,CA,958254688,"Our mission is to provide expert and compassionate hospice care, community bereavement support, and public education about end-of-life issues for all people in our culturally diverse community.","Providing physical, emotional and spiritual care for terminally ill patients and their families as a licensed and certified hospice.",7664654,7625820,7618995,6825,6981685,85,373263,7080643,106593,5376712,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2017,6/30/2018,29:20.0,NULL,NULL,NULL,www.yolohospice.org,,,,,,
1638,201900159349301135_public.xml,NULL,866041641,Assistance League of Yuma,yuma.assistanceleague.org,1964,X,AZ,PO Box 4057,Yuma,AZ,85366,PO Box 4057,Yuma,AZ,85366,NULL,Patty Ogden,Treasurer,NULL,NULL,NULL,Elizabeth Tennant,9283141488,MISENHIMER AIVAZIAN & TENNANT PC,3150 S CATALINA DR SUITE 1,YUMA,AZ,853648258,"Assist needy children and adolesence in the community by providing them with school clothes, supplies and scholarships. Assist trauma",assault victims with clothing and supplies.,"Assist needy children and adolesence in the community by providing them with school clothes, supplies and scholarships. Assist trauma",assault victims with clothing and supplies.,339901,190770,244212,-53442,1015267,0,189805,0,965,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,C,NULL,NULL,NULL,NULL,NULL,NULL,2016,5/31/2017,33:53.0,NULL,NULL,NULL,yuma.assistanceleague.org,,,,
